1,0.813,0.095,0.083,0.085,0.08,0.082
2,35842.036,27403.638,27431.18,28065.119,28157.928,27663.115
3,6356.595,29.676,28.579,28.988,30.961,29.093
4,,,,,,
5,36045.204,25559.496,37777.953,37661.171,38079.651,34342.179
6,,,,,,
7,20107.466,5262.333,5075.476,5383.224,5841.067,5037.798
8,2580.27,2282.573,2312.624,6620.104,2256.113,2313.653
9,13469.463,13052.72,13295.748,13067.933,13165.385,13036.696
10,26941.951,14941.292,15280.992,14831.738,15126.281,14812.725
11,,,,,,
12,570.955,536.156,533.048,535.249,527.943,535.067
13,3095.941,3040.634,2986.143,3054.952,2946.878,3004.655
14_1,,,,,,
14_2,,,,,,
15,1254.184,1237.652,1258.601,1220.404,1208.831,1210.118
16,42023.832,28933.828,28574.653,29897.157,28507.149,28222.345
17,82609.612,74893.657,70062.824,69933.251,70138.605,69604.267
18,7276.125,3082.084,3095.972,3288.355,3166.94,3051.704
19,11746.864,1063.215,873.945,899.04,857.62,860.673
20,1025.041,1002.265,1022.764,1052.759,1056.325,1033.176
21,17684.078,17065.323,4421.026,4389.025,4456.71,4403.994
22,,,,,,
23_1,,,,,,
23_2,,,,,,
24_1,18131.012,5390.576,2596.994,2518.916,2499.442,2481.8
24_2,2652.004,2561.875,2546.264,2543.4,2564.384,2553.671
25,95944.659,48677.346,48442.393,48142.456,47915.654,47964.172
26,6689.127,2716.03,2716.483,2732.872,2701.343,2764.515
27,4503.666,3805.604,4067.232,3780.196,3766.354,3691.508
28,11047.315,10346.623,10609.033,10292.072,10729.008,10379.803
29,29370.884,28856.262,29373.754,28853.849,29041.473,28757.189
30,,,,,,
31,,,,,,
32,1178.543,1181.525,1215.463,1159.782,1162.307,1131.774
33,10501.354,18017.991,10433.296,3081.202,3159.004,3179.797
34,2821.802,1651.207,1639.954,1624.527,1711.578,1712.829
35,6918.072,5906.023,5658.431,5543.901,5609.46,5577.771
36,8982.83,8082.38,8670.28,8633.386,8500.369,8419.474
37,89.422,33.689,38.627,35.548,40.35,35.788
38,42732.4,40257.442,35409.521,32175.41,32053.326,32705.822
39_1,81209.552,71891.849,65381.335,58586.282,55158.111,56557.984
39_2,60765.282,67430.809,57669.348,54453.868,57200.19,58958.415
40,5562.667,1185.277,1235.458,1195.541,1200.805,1170.941
41,43188.134,44086.764,48263.567,42563.044,43064.907,44495.519
42,13558.479,14346.469,2086.542,2057.743,2080.89,2101.335
43,3165.058,3178.011,3121.239,3107.707,3200.361,3154.818
44,1005.518,1013.371,987.941,959.907,977.221,980.343
45,8301.788,1034.849,1033.611,993.865,939.395,949.856
46,3006.484,2891.032,2753.983,2879.621,2755.997,2885.222
47,,,,,,
