1,9.864,0.317,0.223,0.221,0.29,0.576
2,3.421,0.33,0.445,0.336,0.82,0.329
3,23.277,0.285,0.28,0.278,0.291,0.29
4,19.574,,,,,
5,12.669,1.111,1.133,1.326,1.091,1.065
6,18.947,1.774,0.563,0.573,0.803,0.665
7,18.716,0.707,0.731,0.679,0.778,0.719
8,0.901,0.761,0.67,0.635,0.673,0.725
9,11.256,0.432,0.532,0.383,0.578,0.419
10,2.775,1.152,1.158,1.14,1.08,1.219
11,1.172,,,,,
12,12.446,0.446,0.306,0.369,0.304,0.402
13,14.8,1.329,1.38,1.744,1.208,1.22
14_1,5.242,3.22,1.997,3.144,1.982,2.055
14_2,1.667,2.467,2.401,2.458,1.888,2.496
15,0.518,0.506,0.426,0.435,0.445,0.49
16,2.641,1.28,1.063,1.22,1.318,1.204
17,12.343,14.194,9.765,9.602,10.893,9.495
18,1.851,1.849,1.999,2.021,1.812,2.928
19,1.867,2.109,1.21,1.775,2.147,1.759
20,0.626,0.351,0.31,0.316,0.313,0.368
21,5.004,0.536,0.579,0.515,0.561,0.535
22,0.399,0.376,0.319,0.305,0.298,0.303
23_1,1.116,0.911,1.36,0.951,0.916,0.914
23_2,1.586,1.411,1.447,1.407,1.404,1.424
24_1,2.31,2.98,1.995,1.99,1.993,1.987
24_2,2.017,1.986,1.977,1.995,2.208,2.306
25,22.549,19.988,20.888,19.974,19.852,20.02
26,0.687,0.627,0.635,0.616,0.626,0.625
27,0.783,0.635,0.957,0.958,0.62,0.605
28,1.086,0.751,0.712,0.691,0.69,0.701
29,13.594,12.463,14.256,12.555,12.584,13.767
30,0.863,0.374,0.399,0.57,0.383,0.379
31,1.858,1.523,1.513,2.347,1.511,1.515
32,0.484,0.313,0.314,0.35,0.312,0.33
33,1.591,1.353,1.355,1.376,1.349,1.361
34,0.824,0.547,0.444,0.375,0.388,0.38
35,1.733,0.696,0.712,0.697,0.693,0.745
36,0.614,0.401,0.57,0.413,0.488,0.394
37,0.949,0.838,0.871,0.717,0.693,0.718
38,0.538,0.508,0.533,0.504,0.949,0.733
39_1,0.936,0.531,0.53,0.555,0.763,0.561
39_2,0.547,0.656,0.531,0.549,0.534,0.741
40,14,1.517,1.256,1.094,1.094,1.06
41,0.353,0.306,0.414,0.32,0.301,0.3
42,0.36,0.283,0.278,0.277,0.28,0.344
43,0.296,0.347,0.398,0.381,0.378,0.398
44,0.502,0.388,0.341,0.316,0.313,0.375
45,0.848,0.886,0.772,0.967,0.928,0.764
46,0.645,0.629,0.977,0.612,0.597,0.612
47,9.249,,,,,
48,1.295,0.857,0.818,0.832,0.832,0.89
49,2.337,2.006,1.93,1.925,1.952,2.823
50,1.597,1.512,1.512,1.537,1.517,1.523
51,0.324,0.326,0.347,0.332,0.33,0.326
52,0.398,0.288,0.301,0.534,0.331,0.599
53,0.842,0.584,0.574,0.583,0.607,0.62
54,0.756,0.664,0.642,0.668,0.658,0.655
55,0.329,0.346,0.344,0.32,0.28,0.322
56,2.063,3.515,2.503,2.105,2.117,2.054
57,1.184,0.605,0.595,0.584,0.609,0.741
58,2.155,1.115,1.081,0.954,0.949,2.028
59,0.975,1.006,1.374,0.967,1.209,1.224
60,2.933,2.802,2.528,2.713,2.45,2.489
61,3.407,2.654,2.67,2.989,2.606,2.633
62,12.113,0.755,0.672,0.522,0.461,0.524
63,0.767,0.705,0.844,0.84,0.712,0.942
64,81.527,77.497,80.585,79.687,79.613,65.201
65,0.473,0.485,0.534,0.436,12.336,0.454
66,4.354,1.831,1.592,2.005,2.221,2.184
67,0.636,1.024,0.61,0.479,0.612,0.542
68,0.962,0.893,0.866,0.606,0.608,0.627
69,0.847,0.864,0.835,1.307,1.197,0.937
70,0.574,0.433,0.631,0.624,0.487,0.697
71,0.46,0.415,0.576,0.495,0.485,0.458
72,22.333,11.314,13.418,12.256,13.33,13.691
73,0.702,0.552,0.574,0.488,0.48,0.412
74,1.643,,,,,
75,2.942,3.224,3.059,3.234,3.098,2.715
76,0.653,0.845,0.85,0.848,0.719,0.595
77,13.362,1.415,1.29,0.895,1.082,1.094
78,2,1.674,2.025,2.358,2.432,1.704
79,0.557,0.474,0.592,0.535,0.53,0.525
80,5.305,3.734,5.223,5.432,5.817,4.238
81,1.378,0.576,0.593,0.45,0.466,0.405
82,0.769,0.742,0.865,0.856,0.888,0.841
83,1.791,1.047,1.037,1.041,1.04,1.563
84,1.022,1.179,1.462,1.53,1.272,1.474
85,11.533,13.521,9.925,9.477,8.991,7.076
86,0.319,0.37,0.392,0.458,0.497,0.345
87,0.529,0.566,0.669,0.528,0.763,0.546
88,4.283,2.436,2.446,3.023,3.6,2.442
89,0.768,0.54,0.521,0.725,0.5,0.505
90,0.571,0.637,0.526,0.571,0.771,0.73
91,1.388,1.026,1.021,0.99,0.991,0.986
92,0.371,0.582,0.377,0.375,0.387,0.331
93,0.902,0.906,0.886,0.911,0.87,0.864
94,1.104,1.063,1.018,1.035,1.008,1.012
95,1.069,1.159,1.362,1.424,1.575,1.361
96,0.44,0.377,0.356,0.397,0.363,0.386
97,0.323,0.288,0.288,0.371,0.329,0.289
98,0.393,0.344,0.299,0.371,0.446,0.313
99,0.542,0.475,0.859,0.724,0.739,0.643
