1,0.757,0.098,0.106,0.084,0.102,0.182
2,4252.895,3532.361,3486.027,3583.09,3431.723,3275.506
3,535.333,9.774,9.149,9.291,8.947,9
4,4374121.998,,,,,
5,3853.686,1213.596,1364.753,1220.874,1338.907,1334.705
6,181701.222,179529.809,198265.024,204549.852,174533.244,192780.365
7,4343.924,742.018,677.361,734.849,776.562,696.616
8,620.45,576.059,535.483,600.953,602.811,523.851
9,1833.011,1920.034,1901.215,1964.976,2002.32,2028.823
10,1731.013,1626.863,1569.743,1631.666,1571.058,1688.413
11,2284579.033,,,,,
12,103.652,81.226,80.68,79.087,82.069,92.185
13,463.375,470.379,480.015,455.483,438.288,465.254
14_1,30866.983,25591.406,26374.361,24805.076,25141.528,24929.93
14_2,45702.259,44932.776,47152.906,49273.841,50114.243,49275.366
15,205.339,202.132,197.846,177.591,187.863,186.979
16,4.856,4.728,4.485,5.815,6.039,4.686
17,3590.116,3788.159,4067.983,3840.884,3759.961,3711.855
18,462.824,445.354,450.108,450.222,488.464,447.868
19,351.13,321.298,330.645,319.474,355.387,297.177
20,165.436,134.121,139.741,136.251,161.561,142.568
21,3588.577,951.442,904.889,932.807,941.046,971.596
22,14933.627,15259.209,13727.733,13867.297,13757.342,13754.387
23_1,9459.574,11942.139,10152.266,9476.131,9409.234,9910.339
23_2,10135.89,9874.06,9907.593,9668.424,9458.775,9679.592
24_1,967.032,832.065,782.13,794.628,777.391,783.514
24_2,782.157,782.472,779.731,782.735,779.991,797.466
25,2262.795,2298.875,2349.064,2285.844,2246.43,2248.409
26,377.99,362.234,353.955,374.058,373.906,368.104
27,703.079,769.668,745.729,713.22,716.939,723.785
28,1368.772,1347.948,1352.005,1330.357,1352.11,1348.434
29,1415.499,1345.515,1427.26,1374.575,1328.184,1345.992
30,15717.208,15209.567,15623.135,15256.265,15472.28,15349.676
31,12145.231,12348.621,12510.482,12784.886,12116.058,12041.168
32,143.367,134.152,133.526,132.961,132.595,132.608
33,449.044,446.267,444.937,458.378,449.437,527.957
34,447.943,424.348,455.492,424.63,468.565,437.92
35,663.428,587.86,632.514,588.404,601.298,594.763
36,938.788,919.055,897.963,865.658,896.629,935.707
37,32.11,13.004,11.967,11.069,10.982,11.117
38,3503.835,3735.598,3540.004,3768.865,3691.84,3802.65
39_1,7514.209,7124.913,7812.538,8028.741,8134.628,8143.718
39_2,8151.365,8086.42,8208.122,8078.825,8090.369,8020.112
40,171.909,137.72,145.1,126.034,128.784,125.803
